iter	Logloss
0	0.6887983322
1	0.6840506236
2	0.6796877543
3	0.6744919459
4	0.6696502686
5	0.6650901794
6	0.660567983
7	0.6564078013
8	0.6509941101
9	0.6472962697
10	0.6430313746
11	0.6384267807
12	0.6345199585
13	0.6303510666
14	0.6267285665
15	0.6232156754
16	0.6188907623
17	0.615305837
18	0.6118759155
19	0.607751592
20	0.6035658518
21	0.5996524175
22	0.5950104396
23	0.5909517924
24	0.5875567118
25	0.5834165573
26	0.5804355621
27	0.5762447357
28	0.5724688212
29	0.5694916407
30	0.5651093801
31	0.5614549001
32	0.5582749049
33	0.5541434606
34	0.5505575816
35	0.5470176697
36	0.5439941406
37	0.5409823736
38	0.5376764933
39	0.5349381129
40	0.531954066
41	0.5292407354
42	0.5263648669
43	0.5235800425
44	0.5206888517
45	0.5178520203
46	0.5146820068
47	0.5117531776
48	0.5092515945
49	0.5062560717
50	0.5033193906
51	0.5004648209
52	0.497492377
53	0.4942804654
54	0.4912937164
55	0.4883906682
56	0.485484314
57	0.4824189504
58	0.4795607567
59	0.4771243095
60	0.4746062279
61	0.4717611631
62	0.4685082753
63	0.466448911
64	0.4641840935
65	0.4613869349
66	0.4582251867
67	0.4558009466
68	0.4528031031
69	0.4497910817
70	0.4474222819
71	0.4449303945
72	0.4417309443
73	0.4393866221
74	0.4370792707
75	0.4349821091
76	0.4325521151
77	0.4301564217
78	0.4280884425
79	0.4253758113
80	0.4230803808
81	0.4199100494
82	0.4175731023
83	0.4156431834
84	0.4135217031
85	0.4110085805
86	0.4089241028
87	0.4068451881
88	0.4042762438
89	0.4018249512
90	0.3996566137
91	0.3975153923
92	0.3956768672
93	0.3932188988
94	0.3911442439
95	0.3890482267
96	0.387088267
97	0.3849726359
98	0.3822423617
99	0.3806055705
100	0.3785252253
101	0.3767863274
102	0.3752611796
103	0.3733513514
104	0.3714627584
105	0.3699273745
106	0.367944622
107	0.3656059265
108	0.3640522321
109	0.3619385401
110	0.3600950241
111	0.3588240941
112	0.3574399948
113	0.355682532
114	0.3539975484
115	0.3521326701
116	0.3501298269
117	0.3486798286
118	0.3466005325
119	0.3451307933
120	0.343473053
121	0.3418199539
122	0.3401527405
123	0.3388934771
124	0.3374433517
125	0.3358543396
126	0.3343746185
127	0.332856528
128	0.3309283257
129	0.3294608116
130	0.3279358228
131	0.3265428543
132	0.3251911163
133	0.3232094765
134	0.3214753469
135	0.320118014
136	0.3185287158
137	0.3164055506
138	0.3149381002
139	0.3132485708
140	0.3118104299
141	0.3103116353
142	0.30901076
143	0.3077334086
144	0.3066322327
145	0.3052804629
146	0.304019928
147	0.3028110504
148	0.3011388779
149	0.2998037338
150	0.2984307289
151	0.2969497681
152	0.2956586838
153	0.2941476186
154	0.2926409403
155	0.2913371086
156	0.2901935577
157	0.2889561335
158	0.2872952779
159	0.2854522705
160	0.2846343358
161	0.283126545
162	0.2820313772
163	0.2810139338
164	0.2801534653
165	0.2791097005
166	0.2776609421
167	0.2765216827
168	0.2754264832
169	0.2743630409
170	0.2730613708
171	0.2718081156
172	0.2706190427
173	0.2694886525
174	0.2685353279
175	0.2675991376
176	0.2666241805
177	0.264974467
178	0.2635606607
179	0.2622473717
180	0.2609266917
181	0.2599089622
182	0.2585481644
183	0.257337745
184	0.2562343915
185	0.2549030622
186	0.253721873
187	0.2527266979
188	0.2514256954
189	0.2503661633
190	0.2487907092
191	0.247705857
192	0.2470226288
193	0.2458755811
194	0.2448198001
195	0.2439050992
196	0.2427093824
197	0.2418488979
198	0.240925916
199	0.2396546523
200	0.2387496154
201	0.2376378218
202	0.2364205678
203	0.235345904
204	0.2344075203
205	0.2334281445
206	0.2323918184
207	0.231481727
208	0.2302892685
209	0.2290180524
210	0.2281317234
211	0.227215608
212	0.2264468829
213	0.2253817876
214	0.2244223595
215	0.2234521548
216	0.2227158229
217	0.2212842623
218	0.2202088356
219	0.2195366065
220	0.2187807401
221	0.2180233161
222	0.217038552
223	0.2163078149
224	0.2154790243
225	0.2149269581
226	0.2140417735
227	0.2131845474
228	0.2124351343
229	0.2114073277
230	0.2107295354
231	0.2097704887
232	0.208864212
233	0.2079018911
234	0.2071379185
235	0.2064688683
236	0.2057583014
237	0.2048372587
238	0.2040074825
239	0.2033953985
240	0.2025548776
241	0.2018409093
242	0.2012586435
243	0.2005776087
244	0.1996043205
245	0.1990754604
246	0.1981043498
247	0.1972974618
248	0.1967448076
249	0.1959275723
250	0.1951275984
251	0.1946814696
252	0.1941126506
253	0.1935478528
254	0.1928867976
255	0.1920913696
256	0.1916816394
257	0.1911191305
258	0.1902707895
259	0.189465634
260	0.1888076782
261	0.1878422101
262	0.1871924877
263	0.1867075284
264	0.1861002445
265	0.185249869
266	0.1846282005
267	0.183988603
268	0.1830759843
269	0.1826164405
270	0.1819539388
271	0.1813467344
272	0.1808046977
273	0.1802758853
274	0.1797246933
275	0.1792742411
276	0.1788065275
277	0.178011322
278	0.1773573875
279	0.1768217882
280	0.1761501948
281	0.175480175
282	0.1748196284
283	0.1742614905
284	0.1738649368
285	0.1731675307
286	0.1726594925
287	0.17208999
288	0.1716043949
289	0.1708179951
290	0.170265913
291	0.1698035876
292	0.169167614
293	0.1683571815
294	0.1679020087
295	0.167285188
296	0.166496404
297	0.1659307162
298	0.1652953625
299	0.1646766345
300	0.1639966329
301	0.1634153048
302	0.162840271
303	0.1622823397
304	0.1618775686
305	0.1614031474
306	0.1607610226
307	0.160352246
308	0.1597801367
309	0.1591796875
310	0.1586864154
311	0.1581926028
312	0.1577199459
313	0.1571382046
314	0.1567338467
315	0.1562075933
316	0.1558524609
317	0.1554204941
318	0.1547605515
319	0.1543419838
320	0.1538975398
321	0.1533793767
322	0.1528914452
323	0.1524779002
324	0.1520858129
325	0.1514563243
326	0.1510152658
327	0.1502087593
328	0.1497924805
329	0.1494012674
330	0.1488925457
331	0.1484156768
332	0.1479684671
333	0.1475955168
334	0.1472656568
335	0.1466701984
336	0.1462330818
337	0.1456916809
338	0.1452775637
339	0.1448915641
340	0.1443846703
341	0.1439483007
342	0.1435214678
343	0.1429757754
344	0.1424948692
345	0.1421330293
346	0.1416774432
347	0.141188844
348	0.1406627655
349	0.140143013
350	0.1397552808
351	0.1392950535
352	0.1388587316
353	0.1384088993
354	0.1382191022
355	0.1377849738
356	0.1374892871
357	0.1368319829
358	0.1363182068
359	0.1357806206
360	0.1353205681
361	0.1348641555
362	0.1344856739
363	0.134088405
364	0.1337665558
365	0.1333484332
366	0.1330214818
367	0.1326157411
368	0.1321961959
369	0.1317864259
370	0.1314578374
371	0.1311055342
372	0.1307811658
373	0.1303617954
374	0.1301026662
